incident_id,incident_url,title,deployer,category,figure_extracted,currency,year,loss_type_guess,status_guess,context,all_source_urls,CONFIRM_in_boundary,CONFIRM_amount,CONFIRM_currency,CONFIRM_year,CONFIRM_loss_type,primary_source_url,notes
475,https://incidentdatabase.ai/cite/475/,McDonald's Reportedly Ends IBM Partnership After AI Drive-Thru Ordering Errors at U.S. Locations,"[""mcdonald's""]",service_economic_loss,$250,USD,2023,fine_penalty,pending,"heard laughing and snorting as she told the bot ""stop"" a few times. The digital menu board showed an excessive amount of McNugget meals ordered, totaling over $250. TikToker [@That\\_usa\\_guy\\_](https://www.tiktok.com/@that_usa_guy/video/7130382134807629098?amp%3Bt=1676307322812&q=AI%20mcdonalds) was not as amused. His video showed the bot replacing his o",https://www.businessinsider.com/tiktokers-show-failures-with-mcdonalds-drive-thru-ai-robots-2023-2 ; https://www.dailydot.com/irl/mcdonalds-ai-9-sweet-teas/ ; https://www.zdnet.com/article/mcdonalds-drive-thru-robot-made-a-mistake-then-it-all-got-ridiculous/ ; https://www.today.com/food/news/mcdonalds-ai-drive-thru-fails-tiktok-rcna70851,,,,,,,
504,https://incidentdatabase.ai/cite/504/,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information,"[""microsoft""]",service_economic_loss,$4.04 billion,USD,2023,fine_penalty,,"he [Gap Q3 2022 financial report](https://s24.q4cdn.com/508879282/files/doc_financials/2022/q3/3Q22-EPR-FINAL-with-Tables.pdf) _“Gap Inc. reported net sales of $4.04 billion, up 2% compared to last year, and comparable sales were up 1% year-over-year”_ Bing AI starts off fine. This statement is totally correct, probably because it is a direct copy paste from",https://dkb.blog/p/bing-ai-cant-be-trusted,,,,,,,
506,https://incidentdatabase.ai/cite/506/,ChatGPT Allegedly Produced False Accusation of Sexual Harassment,"[""openai""]",copyright_IP,"$50,000",USD,2023,award_judgment,resolved_paid,"'s guilty plea came after an investigation by the U.S. Department of Justice and the FBI. He was sentenced to 3 years of probation and ordered to pay a fine of $50,000. As part of his plea agreement, \\[R.\\] also agreed to cooperate with ongoing investigations into the scheme and to forfeit the proceeds of the fraud. _What's the case number of \\[R.R.\\]'s",https://www.washingtonpost.com/technology/2023/04/05/chatgpt-lies/ ; https://reason.com/volokh/2023/03/17/large-libel-models-chatgpt-4-erroneously-reporting-supposed-felony-pleas-complete-with-made-up-media-quotes/ ; https://arstechnica.com/information-technology/2024/12/certain-names-make-chatgpt-grind-to-a-halt-and-we-know-why/,,,,,,,
507,https://incidentdatabase.ai/cite/507/,ChatGPT Erroneously Alleged Mayor Served Prison Time for Bribery ,"[""openai""]",service_economic_loss,"A$400,000",AUD,2023,award_judgment,pending,"ct, ""so it makes a difference to him if people in his community are accessing this material"". Australian defamation damages payouts are generally capped around A$400,000 ($269,360). Hood did not know the exact number of people who had accessed the false information about him - a determinant of the payout size - but the nature of the defamatory statements was",https://www.reuters.com/technology/australian-mayor-readies-worlds-first-defamation-lawsuit-over-chatgpt-content-2023-04-05/ ; https://www.washingtonpost.com/technology/2023/04/06/chatgpt-australia-mayor-lawsuit-lies/,,,,,,,
653,https://incidentdatabase.ai/cite/653/,Two Investment Firms Charged with Making False Claims of Artificial Intelligence Capabilities in Case of AI Wa,"[""global-predictions-inc."",""delphia-(usa)-inc.""]",regulatory_fine,"$400,000",USD,2024,settlement,resolved_paid,"intelligence in their investment strategies between 2019 and 2023. Their misleading claims resulted in a settlement whereby the firms agreed to pay a total of $400,000 in penalties, highlighting the critical consequences of misrepresenting AI capabilities on investment decisions and trust. Washington D.C., March 18, 2024 --- The Securities and Exchange Comm",https://www.sec.gov/news/press-release/2024-36,,,,,,,
696,https://incidentdatabase.ai/cite/696/,Meta's AI Ad Platform Reportedly Causes Overspending and Poor Performance,"[""meta"",""facebook""]",service_economic_loss,$28,USD,2024,fine_penalty,pending,"under a couple of hours. Williams told *The Verge* that the ads' CPMs, or cost per impressions, were roughly 10 times higher than normal. A usual CPM of under $28 had inflated to roughly $250, way above the [industry average](https://www.adexchanger.com/data-driven-thinking/with-metas-cpms-rising-consider-pinterest-tiktok-and-linkedin/#:~:text=Privacy%2Drel",https://www.theverge.com/2024/4/28/24141585/meta-ai-advantage-plus-automated-ad-glitch-cpm,,,,,,,
991,https://incidentdatabase.ai/cite/991/,Alleged AI-Generated IRS Scam Websites Used to Defraud U.S. Taxpayers,"[""phishers"",""scammers-impersonating-the-irs"",""cyber-criminal",service_economic_loss,"$8,199,",USD,2025,fine_penalty,,"ard information over the phone. Yet scammers still manage to prey on thousands of taxpayers each year. The average tax scam victim last year lost an average of $8,199, according to [McAfee](https://www.mcafee.com/en-us/consumer-corporate/newsroom/press-releases/press-release.html?news_id=cf237f5f-b716-47c2-982e-167eced3ff0f&%20=). Cybersecurity firm [Guardio",https://www.cbsnews.com/philadelphia/news/scammers-ai-fake-irs-sites-other-scams/,,,,,,,
1028,https://incidentdatabase.ai/cite/1028/,OpenAI's Operator Agent Reportedly Executed Unauthorized $31.43 Transaction Despite Safety Protocol,"[""openai""]",service_economic_loss,$31.43,USD,2025,fine_penalty,resolved_paid,"OpenAI's Operator agent, which is designed to complete real-world web tasks on behalf of users, reportedly executed a $31.43 grocery delivery purchase without user consent. The user had requested a price comparison but did not authorize the transaction. It reportedly bypassed OpenAI's stated safeguard requiring user",https://www.washingtonpost.com/technology/2025/02/07/openai-operator-ai-agent-chatgpt/,,,,,,,
1247,https://incidentdatabase.ai/cite/1247/,"Meta AI Reportedly Generated Purportedly False Claims Linking Activist Robby Starbuck to January 6th Riot, Pro","[""meta""]",service_economic_loss,$5 million,USD,2025,settlement,resolved_paid,"still making the same unproven claims about him months later and he filed a lawsuit. His lawsuit, filed in Delaware Superior Court on Tuesday, seeks more than $5 million in damages. ""You start to wonder how much further this is going to seed out into society,"" Starbuck said in an interview. He said he is worried about how AI could be used to determine credi",https://www.wsj.com/tech/ai/activist-robby-starbuck-sues-meta-over-ai-answers-about-him-9eba5d8a ; https://www.dhillonlaw.com/lawsuits/starbuck-v-meta/,,,,,,,
1248,https://incidentdatabase.ai/cite/1248/,"Google's Bard, Gemini, and Gemma AI Systems Allegedly Generated Defamatory Claims About Activist Robby Starbuc","[""google""]",service_economic_loss,$15 million,USD,2025,settlement,resolved_paid,I systems generated false statements linking him to sexual assault and extremist activity. Starbuck claims the outputs caused reputational harm and sought over $15 million in damages. Google acknowledged the hallucinations as known LLM behavior and stated it works to minimize such inaccuracies. See also Incident 1247. Conservative activist Robby Starbuck fil,https://www.wsj.com/tech/ai/activist-robby-starbuck-sues-google-over-claims-of-false-ai-info-d0a8bdbe,,,,,,,
